"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
2.505692800E-2,2.833125114E1,1.155000019E1,-9.307500458E1,9.797458228E1
3.505692800E-2,2.868750191E1,1.203750038E1,-9.393750000E1,9.895518222E1
4.505692800E-2,2.865000153E1,1.233750057E1,-9.423750305E1,9.926602384E1
5.505692800E-2,2.885625076E1,1.215000057E1,-9.427500153E1,9.933821840E1
6.505692800E-2,2.893125153E1,1.188750076E1,-9.450000000E1,9.954185044E1
7.505692800E-2,2.887500191E1,1.179375076E1,-9.440625000E1,9.942534049E1
8.505692800E-2,2.898750114E1,1.179375076E1,-9.442500305E1,9.947587135E1
9.505692800E-2,2.876250076E1,1.175625038E1,-9.457500458E1,9.954859298E1
1.050569280E-1,2.891250038E1,1.186875057E1,-9.465000153E1,9.967659057E1
1.150569280E-1,2.878125191E1,1.158750057E1,-9.470625305E1,9.965894339E1
1.250569280E-1,2.887500191E1,1.143750000E1,-9.483750153E1,9.979345588E1
1.350569280E-1,2.881875038E1,1.143750000E1,-9.493125153E1,9.986630711E1
1.450569280E-1,2.876250076E1,1.149375057E1,-9.489375305E1,9.982090022E1
1.550569280E-1,2.900625038E1,1.171875000E1,-9.506250000E1,1.000778226E2
1.650569280E-1,2.883750153E1,1.173750019E1,-9.511875153E1,1.000847006E2
1.750569280E-1,2.906250191E1,1.156875038E1,-9.493125153E1,9.995202609E1
1.850569280E-1,2.904375076E1,1.132500076E1,-9.511875153E1,1.000968131E2
1.950569280E-1,2.911875153E1,1.132500076E1,-9.510000610E1,1.001007917E2
2.050569280E-1,2.911875153E1,1.108125019E1,-9.481875610E1,9.980627388E1
2.150569280E-1,2.919375038E1,1.104375076E1,-9.466875458E1,9.968155589E1
2.250569280E-1,2.936250114E1,1.121250057E1,-9.448125458E1,9.957200465E1
2.350569280E-1,2.896875191E1,1.102500057E1,-9.425625610E1,9.922187783E1
2.450569280E-1,2.908125114E1,1.106250000E1,-9.440625000E1,9.940139895E1
2.550569280E-1,2.895000076E1,1.104375076E1,-9.442500305E1,9.937881151E1
2.650569280E-1,2.895000076E1,1.113750076E1,-9.459375000E1,9.954960576E1
2.750569280E-1,2.880000114E1,1.134375000E1,-9.474375153E1,9.967195786E1
2.850569280E-1,2.872500038E1,1.170000076E1,-9.474375153E1,9.969149471E1
2.950569280E-1,2.874375153E1,1.168125057E1,-9.457500458E1,9.953434763E1
3.050569280E-1,2.870625114E1,1.140000057E1,-9.485625458E1,9.975829740E1
3.150569280E-1,2.876250076E1,1.138125038E1,-9.466875458E1,9.959411330E1
3.250569280E-1,2.855625153E1,1.115625000E1,-9.453750610E1,9.938441264E1
3.350569280E-1,2.865000153E1,1.108125019E1,-9.453750610E1,9.940300173E1
3.450569280E-1,2.848125076E1,1.108125019E1,-9.421875000E1,9.905124231E1
3.550569280E-1,2.842500114E1,1.119375038E1,-9.410625458E1,9.894072917E1
